   19.0833    0.00    2.00
   19.1250   -1.28    1.53
   19.1666   -0.87    0.50
   19.2083   -0.38    0.32
   19.2500   -0.43    0.25
   19.2916   -0.34    0.94
   19.3333    0.00    0.50
   19.3750   -0.95    1.65
   19.4166   -0.81    2.22
   19.4583   -0.65    1.79
   19.5000   -0.41    2.32
   19.5416    0.00    1.91
   19.5833   -0.65    1.79
   19.6250   -0.33    1.88
   19.6666    0.00    1.91
   19.7083    0.17    0.47
   19.7500    0.32    0.38
   19.7916    0.87    0.50
   19.8333    0.00    4.17
   19.8750    0.82    4.65
   19.9166    2.31    2.76
   19.9583    3.14    2.64
   20.0000    2.31    2.76
   20.0416    3.14    2.64
   20.0833    1.50    2.60
   20.1250    1.93    2.30
   20.1666    1.48   -0.26
   20.2083    0.64   -0.77
   20.2500    0.52   -2.95
   20.2916    0.35   -1.97
   20.3333    0.00   -3.00
   20.3750    1.86   -3.22
   20.4166    2.09   -3.61
   20.4583    1.41   -2.43
   20.5000    1.41   -2.43
   20.5416    2.36   -4.08
   20.5833    0.57   -3.22
   20.6250    0.68   -1.88
   20.6666    0.52   -2.95
   20.7083    0.52   -2.95
   20.7500    1.03   -2.82
   20.7916    0.51   -1.41
   20.8333    1.52   -1.81
   20.8750    1.15   -0.97
   20.9166    0.75   -1.30
   20.9583    2.04   -1.18
   21.0000   -0.50    0.87
   21.0416   -1.48    0.26
   21.0833   -1.41    0.51
   21.1250    2.43   -1.41
   21.1666    2.39   -2.85
   21.2083    0.00   -2.36
   21.2500    1.23   -1.46
   21.2916    1.41   -2.43
   21.3333    0.65   -1.79
   21.3750    0.00    0.00
   21.4166    0.00    0.00
   21.4583    1.46   -1.23
   21.5000    0.88   -1.04
   21.5416    0.00    0.00
   21.5833    0.00    0.00
   21.6250    0.00    0.00
   21.6666    0.00    0.00
   21.7083    0.00    0.00
   21.7500    1.23   -1.46
   21.7916    0.88   -1.04
   21.8333   -0.09   -0.49
   21.8750    0.99   -0.17
   21.9166    2.16    1.25
   21.9583   -1.28    1.53
   22.0000   -0.85    2.35
   22.0416   -1.25    2.16
   22.0833   -0.85    2.35
   22.1250   -0.80    4.53
   22.1666    1.88   -0.68
   22.2083    1.73   -1.00
   22.2500    0.38    0.32
   22.2916    0.00    0.00
   22.3333    1.52   -1.81
   22.3750    1.41   -2.43
   22.4166    2.15   -1.81
   22.4583    0.00   -2.81
   22.5000   -0.82   -4.65
   22.5416    0.00   -4.72
   22.5833    0.82   -4.65
   22.6250    0.82   -4.65
   22.6666    0.00   -4.72
   22.7083   -1.03   -2.82
   22.7500   -0.52   -2.95
   22.7916   -1.23   -3.38
   22.8333   -1.23   -3.38
   22.8750   -1.03   -2.82
   22.9166   -0.62   -3.54
   22.9583   -1.50   -2.60
   23.0000   -3.98   -2.30
   23.0416   -5.26   -1.92
   23.0833   -5.52   -0.97
   23.1250   -5.02   -0.89
   23.1666   -4.48   -2.59
   23.2083   -3.92   -1.43
   23.2500   -3.22   -1.86
   23.2916   -3.61   -2.09
   23.3333   -4.11   -0.72
   23.3750   -3.92   -1.43
   23.4166   -3.92   -1.43
   23.4583   -3.49   -1.27
   23.5000   -2.04   -1.18
   23.5416   -1.79   -0.65
   23.5833   -2.22   -0.81
   23.6250   -2.22   -0.81
   23.6666   -1.81   -1.52
   23.7083   -1.97    0.35
   23.7500   -1.97    0.35
   23.7916   -3.54    0.62
   23.8333   -2.82    1.03
   23.8750   -3.98    2.30
   23.9166   -3.55    2.05
   23.9583   -2.64    3.14
   24.0000   -3.85    1.40
   24.0416   -5.02    0.89
   24.0833   -4.04    0.71
